Date,Open,High,Low,Close,Adj Close,Volume
29-05-2019,139.5,139.5,135.699997,136.300003,132.355515,1172556
30-05-2019,136.300003,137.75,134.300003,134.949997,131.044586,1072603
31-05-2019,137.449997,138.149994,130,133.25,129.393784,1955943
03-06-2019,133.600006,133.949997,129.350006,131.600006,127.791542,1744965
04-06-2019,131.949997,135.100006,131,132.600006,128.762604,1904427
06-06-2019,133.199997,133.199997,122.25,124.199997,120.605682,3340850
07-06-2019,123.699997,124.949997,120.349998,121.25,117.741058,1472198
10-06-2019,123,124.699997,117.400002,118,114.585114,1383304
11-06-2019,119.5,121.949997,117.650002,121.199997,117.692505,1084931
12-06-2019,121,122.5,119.949997,121.25,117.741058,995105
13-06-2019,121.900002,121.900002,117.25,120.849998,117.352631,2141212
14-06-2019,121,121.75,118.099998,119,115.556175,1084328
17-06-2019,119.949997,119.949997,116.150002,116.650002,113.274185,904151
18-06-2019,117.25,118.349998,115.099998,116.599998,113.225624,1071057
19-06-2019,117.099998,119.199997,114.349998,115.800003,112.448784,953544
20-06-2019,116.900002,119,115.300003,118.550003,115.119202,974404
21-06-2019,117.400002,119.400002,117.199997,118,114.585114,779167
24-06-2019,118.5,120,117.400002,118.25,114.827881,704158
25-06-2019,118.75,120.349998,117.800003,119.949997,116.478676,739299
26-06-2019,119.900002,121.75,119,121.400002,117.886719,734935
27-06-2019,122,123.099998,120.400002,121.400002,117.886719,1049577
28-06-2019,121,125.5,120.599998,121.849998,118.323692,1942604
01-07-2019,122.599998,122.800003,119.849998,121.199997,117.692505,1043089
02-07-2019,121.199997,121.949997,120.150002,120.599998,117.109871,732411
03-07-2019,121.150002,126,119.599998,125.449997,121.819511,1675185
04-07-2019,126.900002,130.899994,126.099998,129.399994,125.655197,2391787
05-07-2019,130.050003,132.800003,127.199997,130.399994,126.626251,3381576
08-07-2019,130.399994,130.850006,123.099998,124.550003,120.945557,1802378
09-07-2019,123.75,126.400002,122.650002,125.800003,122.159386,1189459
10-07-2019,126.5,127.349998,123.699997,124.199997,120.605682,1083131
11-07-2019,125.5,126.449997,123.900002,125.849998,122.207932,1593546
12-07-2019,126,127.25,124.949997,125.849998,122.207932,773304
15-07-2019,125.849998,125.849998,121.699997,122,118.469353,950379
16-07-2019,122.400002,124.599998,120.599998,124.099998,120.508575,1182949
17-07-2019,124.699997,128.300003,123.300003,127.25,123.567421,1233471
18-07-2019,127.650002,127.650002,121.099998,121.400002,117.886719,1264015
19-07-2019,122,122.699997,116.900002,118,114.585114,1235944
22-07-2019,117.900002,119.300003,115.949997,118.300003,114.876434,934072
23-07-2019,119.550003,119.550003,112.099998,112.599998,109.341385,1442330
24-07-2019,113.900002,113.900002,109.25,110.300003,107.107948,1318468
25-07-2019,110.650002,111.099998,108.349998,109.550003,106.379654,1333844
26-07-2019,111.099998,114.25,110.050003,112.550003,109.292839,1579228
29-07-2019,113,113,108.650002,109,105.845573,1085562
30-07-2019,109.099998,109.949997,101.400002,102.699997,99.72789,1605782
31-07-2019,102.699997,107.400002,101.75,106.650002,103.563583,1244225
01-08-2019,104.75,107.099998,102.849998,105.400002,102.349754,1072041
02-08-2019,104.699997,107.050003,103,104.849998,101.815666,1584476
05-08-2019,104.300003,104.300003,99.150002,103.199997,100.213417,1409678
06-08-2019,101.599998,105.25,101.599998,104.25,101.233032,935228
07-08-2019,104.900002,105.699997,97.050003,97.650002,94.824036,1840088
08-08-2019,98.849998,101,96.550003,100.099998,97.203133,2105092
09-08-2019,100.550003,101.699997,98.699997,99.900002,97.008926,1463811
13-08-2019,100,102.300003,97.150002,98.099998,95.261009,1309920
14-08-2019,98.5,101.449997,98.150002,101.050003,98.125641,1159581
16-08-2019,99.550003,103.199997,99.449997,102.400002,99.436577,1287481
19-08-2019,102.949997,103.199997,101.199997,102.550003,99.582237,995192
20-08-2019,102.5,102.5,97.900002,98.75,95.892204,1363418
21-08-2019,98.75,99.699997,93.25,94.800003,92.056519,1499563
22-08-2019,94.199997,94.949997,89.75,90.550003,87.929512,1523095
23-08-2019,90.599998,94.550003,90,93.449997,90.745583,1604894
26-08-2019,99.75,99.800003,91.5,95.050003,92.299286,2701594
27-08-2019,97.199997,99.199997,96.599998,97.25,94.435616,2123031
28-08-2019,97.400002,97.650002,93.800003,94.5,91.765198,1273207
29-08-2019,93.900002,95.900002,91.400002,91.900002,89.24044,1790291
30-08-2019,92.599998,93.599998,89.099998,92.599998,89.920181,2790355
03-09-2019,93.300003,93.400002,90.449997,91.449997,88.803459,1563352
04-09-2019,91.550003,93.699997,91,93.300003,90.59993,1520379
05-09-2019,93.699997,94.150002,91.849998,93.599998,90.891243,1442523
06-09-2019,94,94.849998,93.25,94.300003,91.570984,1130859
09-09-2019,94.050003,96.25,93.349998,95.550003,92.784813,1351505
11-09-2019,95.75,99.599998,95.550003,99.050003,96.183525,1385377
12-09-2019,100,102.449997,98.949997,101.25,98.319855,1794098
13-09-2019,100.900002,101.349998,96.75,99.849998,96.960365,2298428
16-09-2019,99.050003,100.25,97.650002,98.849998,95.989304,1219073
17-09-2019,98.5,99.550003,94.800003,95.150002,92.396385,1262077
18-09-2019,95.949997,96.849998,94.400002,96,93.221786,1578633
19-09-2019,95.949997,95.949997,93.75,94.550003,91.813751,1560527
20-09-2019,94.75,102.699997,90.900002,100.25,97.348793,4497203
23-09-2019,102.900002,103.050003,98.5,100.599998,97.68866,4499791
24-09-2019,100.599998,101.550003,98.699997,99.150002,96.280624,1471640
25-09-2019,99,99,93.099998,93.599998,90.891243,1723624
26-09-2019,94,97.650002,93.849998,95.800003,93.02758,2152479
27-09-2019,94.900002,96.699997,93.849998,95.150002,92.396385,1876894
30-09-2019,95.400002,95.550003,91.5,93.050003,90.357162,2176668
01-10-2019,94.5,94.699997,85.699997,91.25,88.609253,3058984
03-10-2019,90.550003,93.050003,89.449997,90.849998,88.220825,1953490
04-10-2019,91.900002,92.400002,88,88.699997,86.133041,1797577
07-10-2019,88.699997,89.25,85.699997,87.099998,84.579346,2093517
09-10-2019,86.550003,91.5,86.050003,91.050003,88.415039,2063483
10-10-2019,90.300003,90.300003,87.300003,87.800003,85.259094,1722772
11-10-2019,88.650002,91.199997,86.349998,90.800003,88.172279,2024691
14-10-2019,89,90.949997,87.150002,88.300003,85.744629,2004822
15-10-2019,88.650002,88.75,86.900002,88,85.453308,1724573
16-10-2019,88.599998,89.849998,87.050003,87.300003,84.773567,1250179
17-10-2019,87.300003,89.400002,86.300003,89,86.424362,1895726
18-10-2019,89.449997,90.800003,88.099998,89.75,87.152657,1470317
22-10-2019,90,92.5,89.150002,90.150002,87.541084,1727683
23-10-2019,90.099998,92.849998,89.550003,92.550003,89.871628,1331978
24-10-2019,92.949997,93.550003,88,89.900002,87.298317,1880919
25-10-2019,90.400002,92.099998,88.75,91.5,88.852013,2214838
27-10-2019,92.400002,92.550003,91.349998,91.699997,89.046227,180857
29-10-2019,91.300003,93.599998,90.349998,93.050003,90.357162,1386730
30-10-2019,93.5,97.099998,92.800003,95.550003,92.784813,1921276
31-10-2019,96.099998,99,95.699997,97.199997,94.387054,2466826
01-11-2019,97.599998,101,97,99.949997,97.057472,2417497
04-11-2019,100.550003,103.75,100.5,102,99.048149,3957996
05-11-2019,102.150002,103.949997,101.199997,101.849998,98.902489,4859196
06-11-2019,101.75,101.949997,98.699997,99.400002,96.523392,1825456
07-11-2019,99.800003,100.699997,95.699997,96.099998,93.318893,2018384
08-11-2019,96.199997,97.099998,93.349998,93.800003,91.085457,3386262
11-11-2019,94,98.900002,94,96.5,93.707314,2566103
13-11-2019,97,97.349998,93,93.349998,90.648476,1197124
14-11-2019,93.400002,94,90.599998,93.300003,90.59993,1731653
15-11-2019,93.900002,96.550003,93.699997,94.300003,91.570984,1932630
18-11-2019,94.699997,96.150002,94.349998,95.849998,93.076126,1204651
19-11-2019,96,99.5,95.849998,98.900002,96.037865,2470177
20-11-2019,100,101.300003,98.050003,98.949997,96.086411,2713959
21-11-2019,99.400002,100.449997,98.349998,98.599998,95.746544,1608202
22-11-2019,98.650002,99.800003,98.400002,99.050003,96.183525,1475059
25-11-2019,99.050003,100.849998,98.900002,100.550003,97.640114,1372385
26-11-2019,101.300003,103.150002,99.150002,99.900002,97.008926,2334434
27-11-2019,100.349998,102.699997,99.400002,102.199997,99.242355,1179098
28-11-2019,103,106.800003,102.599998,106.449997,103.369362,3260301
29-11-2019,107,108.25,104.400002,104.900002,101.864227,3347523
02-12-2019,105,106.150002,104,104.449997,101.427246,1840353
03-12-2019,104.5,104.900002,100.599998,101.199997,98.271294,3281862
04-12-2019,100.75,104.099998,100.25,103.75,100.747505,1499629
05-12-2019,105,105.650002,101.699997,102.25,99.290916,2153870
06-12-2019,103.449997,103.650002,96.400002,97.150002,94.338509,2249852
09-12-2019,97.800003,98.400002,95.550003,96.900002,94.095741,1936919
10-12-2019,97.550003,98.150002,95.199997,95.599998,92.833359,1335780
11-12-2019,96,96.5,94.199997,95.650002,92.88192,1150415
12-12-2019,96.050003,98.25,95.800003,97.900002,95.066803,913913
13-12-2019,98.5,102.099998,98.349998,101.75,98.805382,1728629
16-12-2019,102.550003,102.550003,100.400002,101,98.077087,991188
17-12-2019,101.300003,103.449997,101.300003,102.25,99.290916,1163129
18-12-2019,101.449997,101.449997,98.5,98.900002,96.037865,1211041
19-12-2019,98.900002,99.349998,97.599998,98.550003,95.69799,1066143
20-12-2019,99.5,101.199997,99.25,100.699997,97.785767,1220776
23-12-2019,100.800003,101.099998,99.25,99.699997,96.814705,827832
24-12-2019,99.699997,100.650002,99.699997,99.849998,96.960365,676052
26-12-2019,100.099998,100.349998,98.650002,99,96.134964,955136
27-12-2019,99.949997,104.599998,99.75,104.199997,101.184479,2005153
30-12-2019,104,104.349998,102.050003,102.949997,99.97065,829051
31-12-2019,102.949997,103.199997,101.650002,101.900002,98.951042,745555
01-01-2020,102.099998,102.650002,101.300003,101.849998,98.902489,600815
02-01-2020,101.75,104.849998,101.75,104.400002,101.378693,934048
03-01-2020,104.300003,104.300003,100.199997,100.849998,97.931427,1029844
06-01-2020,100,100,95.400002,95.800003,93.02758,1457518
07-01-2020,97.150002,98.099998,94.75,96.099998,93.318893,1573618
08-01-2020,94,95.800003,93.550003,95.25,92.493492,1627204
09-01-2020,96.650002,98,96.550003,97.25,94.435616,1235976
10-01-2020,98.449997,98.949997,96.650002,97,94.192848,1316001
13-01-2020,97.5,98.150002,96.949997,97.550003,94.726936,600592
